match_id,match,team,over,runs,wickets,bowler,balls
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,1,5,0,Maheesh Theekshana,"['•', '•', '1', '1', '2', '1w', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,1,8,0,Gerhard Erasmus,"['4', '1', '1', '•', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,2,8,1,Dushmantha Chameera,"['1', 'W', '1', '4', '•', '2']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,2,5,1,David Wiese,"['•', '2', '2', 'W', '1', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,3,3,1,Pramod Madushan,"['1', '1', '1', '•', '•', 'W']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,3,8,0,Bernard Scholtz,"['•', '4', '1', '2', '•', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,4,8,0,Dushmantha Chameera,"['•', '•', '1', '1', '6', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,4,1 run,2 s,Ben Shikongo,"['•', 'W', 'W', '•', '•', '1lb']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,5,12,1,Chamika Karunaratne,"['1', '4', '6', '•', 'W', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,5,8,0,JJ Smit,"['1w', '1', '•', '3', '2', '1', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,6,7,0,Pramod Madushan,"['1', '•', '1', '1', '•', '4']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,6,8,0,David Wiese,"['4', '•', '1', '1', '1lb', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,7,5,0,Maheesh Theekshana,"['1', '1', '1', '•', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,7,4,1,Jan Frylinck,"['1', '1', 'W', '1', '1w', '•', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,8,4,0,Wanindu Hasaranga,"['1', '2', '1', '•', '•', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,8,10,0,Ben Shikongo,"['2', '1', '1', '1', '4', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,9,4,0,Chamika Karunaratne,"['•', '1', '•', '1', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,9,8,0,Jan Frylinck,"['1', '•', '•', '•', '6', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,10,3,0,Wanindu Hasaranga,"['•', '•', '1', '1', '1', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,10,12,0,Ben Shikongo,"['1', '1', '4', '4', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,11,9,0,Maheesh Theekshana,"['2', '2', '1', '2', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,11,3,1,Bernard Scholtz,"['1', '1', 'W', '•', '•', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,12,10,1,Wanindu Hasaranga,"['1', '4', '1', '2', 'W', '2']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,12,4,0,JJ Smit,"['1', '•', '1', '2', '•', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,13,4,0,Chamika Karunaratne,"['1', '1', '1', '•', '•', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,13,4,1,Bernard Scholtz,"['•', '1', 'W', '1', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,14,9,1,Pramod Madushan,"['4', '1', '1', '2', '1', 'W']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,14,5,1,Jan Frylinck,"['1', '•', '1', '1', '2', 'W']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,15,4,1,Maheesh Theekshana,"['1w', '1', 'W', '1', '•', '1', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,15,3,1,Bernard Scholtz,"['•', 'W', '1', '1', '•', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,16,11,0,Dushmantha Chameera,"['1', '1', '2', '4', '2', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,16,4,1,JJ Smit,"['1', 'W', '1', '•', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,17,10,0,Wanindu Hasaranga,"['1', '1', '1', '6', '1', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,17,2,0,David Wiese,"['•', '1', '1', '•', '•', '•']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,18,16,0,Chamika Karunaratne,"['1', '4', '1', '•', '5w', '4', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,18,9,0,Jan Frylinck,"['•', '1', '•', '6', '1', '1']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,19,18,0,Pramod Madushan,"['4', '1', '3', '2', '2', '6']"
T20I # 1823,Namibia Vs Sri Lanka,Namibia,19,2,1,David Wiese,"['1', '1', '•', '•', '•', 'W']"
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,20,13,1,Dushmantha Chameera,"['1w', '2', '4', '1', '1w', '1b', '2', '1W']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,1,2,0,Fred Klaassen,"['•', '1w', '•', '•', '1w', '•', '•', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,1,12,0,Junaid Siddique,"['1', '1', '4', '4', '1w', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,2,2,0,Tim Pringle,"['•', '1', '•', '•', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,2,9,1,Basil Hameed,"['2b', '•', 'W', '1', '•', '6']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,3,2,0,Fred Klaassen,"['•', '•', '1lb', '•', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,3,6,0,Aayan Afzal Khan,"['•', '1', '•', '4', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,4,13,0,Logan van Beek,"['•', '•', '•', '1w', '•', '6', '6']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,4,10,0,Karthik Meiyappan,"['•', '4', '•', '4', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,5,7,0,Bas de Leede,"['1', '•', '•', '1', '4', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,5,3,0,Zahoor Khan,"['•', '1', '2', '•', '•', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,6,5,0,Paul van Meekeren,"['1', '•', '1lb', '3', '•', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,6,2,1,Junaid Siddique,"['•', '1', '•', 'W', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,7,9,1,Roelof van der Merwe,"['1', '1', 'W', '•', '6', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,7,1 run,0,Zahoor Khan,"['•', '•', '•', '•', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,8,6,0,Logan van Beek,"['1', '•', '2', '1', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,8,12,0,Zawar Farid,"['4', '1', '4', '1', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,9,6,0,Tim Pringle,"['1', '1', '1lb', '1', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,9,4,1,Karthik Meiyappan,"['•', '2', '1', '1', 'W', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,10,5,0,Paul van Meekeren,"['1', '1lb', '•', '2lb', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,10,3,0,Aayan Afzal Khan,"['1', '•', '•', '1', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,11,3,1,Tim Pringle,"['1', '1', 'W', '•', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,11,5,0,Kashif Daud,"['•', '1', '1', '1', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,12,5,0,Roelof van der Merwe,"['•', '•', '1', '2', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,12,6,1,Aayan Afzal Khan,"['3', '1', '•', 'W', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,13,9,0,Bas de Leede,"['3', '•', '•', '•', '1w', '4', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,13,3,0,Karthik Meiyappan,"['•', '2', '•', '•', '•', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,14,3,0,Tim Pringle,"['•', '•', '1', '•', '1', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,14,1 run,2 s,Junaid Siddique,"['W', '•', 'W', '•', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,15,8,0,Paul van Meekeren,"['2', '•', '1', '1', '3', '1']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,15,4,0,Zahoor Khan,"['1', '1', '1', '•', '•', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,16,6,1,Fred Klaassen,"['2', '•', '1w', '•', '1', '2', 'W']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,16,5,0,Karthik Meiyappan,"['1', '•', '1', '•', '1', '2']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,17,5,0,Roelof van der Merwe,"['•', '3', '•', '1', '1', '•']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,17,7,0,Zawar Farid,"['1', '2', '2', '1', '1lb', '•']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,18,7,1,Paul van Meekeren,"['1', '1', '1W', '•', '•', '4']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,18,9,0,Junaid Siddique,"['1', '1', '1', '2', '1', '3']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,19,3,3 s,Bas de Leede,"['W', '1', 'W', '1w', '•', '1', 'W']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,19,4,1,Zahoor Khan,"['1', '•', 'W', '1', '1lb', '1']"
T20I # 1825,Netherlands Vs U.A.E.,Netherlands,20,5,1,Fred Klaassen,"['2', '•', '•', '2', 'W', '1b']"
T20I # 1825,Netherlands Vs U.A.E.,U.A.E.,20,6,0,Zawar Farid,"['1', '1', '1', '2', '1']"
T20I # 1826,Scotland Vs West Indies,West Indies,1,9,0,Kyle Mayers,"['1', '4', '4', '•', '•', '•']"
T20I # 1826,Scotland Vs West Indies,Scotland,1,1 run,0,Mark Watt,"['•', '•', '•', '1', '•', '•']"
T20I # 1826,Scotland Vs West Indies,West Indies,2,1 run,0,Akeal Hosein,"['•', '•', '•', '•', '•', '1']"
T20I # 1826,Scotland Vs West Indies,Scotland,2,9,0,Brad Wheal,"['•', '•', '4', '4', '1', '•']"
T20I # 1826,Scotland Vs West Indies,West Indies,3,16,0,Kyle Mayers,"['4', '4', '1w', '•', '1lb', '1', '1w', '4']"
T20I # 1826,Scotland Vs West Indies,Scotland,3,10,1,Josh Davey,"['•', '4', '6', 'W', '•', '•']"
T20I # 1826,Scotland Vs West Indies,West Indies,4,15,0,Alzarri Joseph,"['•', '1', '4', '4', '4', '2']"
