team,player,batting_style,bowling_style,playing_role,image
Namibia,Michael van Lingen,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/350300/350305.png"
Namibia,Divan la Cock,Right hand Bat,Legbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/350300/350303.png"
Namibia,Jan Nicol Loftie-Eaton,Left hand Bat,"Right arm Medium, Legbreak",Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348606.png"
Namibia,Stephan Baard,Right hand Bat,Right arm Medium fast,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329756.png"
Namibia,Gerhard Erasmus,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329755.png"
Namibia,Jan Frylinck,Left hand Bat,Left arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348605.png"
Namibia,David Wiese,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png"
Namibia,JJ Smit,Right hand Bat,Left arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329762.png"
Namibia,Zane Green,Left hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/350300/350307.png"
Namibia,Bernard Scholtz,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329759.png"
Namibia,Ben Shikongo,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329760.png"
Sri Lanka,Pathum Nissanka,Right hand Bat,,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323070.png"
Sri Lanka,Kusal Mendis,Right hand Bat,Legbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png"
Sri Lanka,Dhananjaya de Silva,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319859.png"
Sri Lanka,Danushka Gunathilaka,Left hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319857.png"
Sri Lanka,Bhanuka Rajapaksa,Left hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340306.png"
Sri Lanka,Dasun Shanaka,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/328000/328058.png"
Sri Lanka,Wanindu Hasaranga,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322946.png"
Sri Lanka,Chamika Karunaratne,Right hand Bat,Right arm Medium fast,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png
Sri Lanka,Pramod Madushan,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/355400/355401.png"
Sri Lanka,Dushmantha Chameera,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319862.png"
Sri Lanka,Maheesh Theekshana,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/347800/347825.png"
United Arab Emirates,Chirag Suri,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320000/320095.png"
United Arab Emirates,Muhammad Waseem,Right hand Bat,Right arm Medium,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354962.png"
United Arab Emirates,Kashif Daud,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/351500/351562.png"
United Arab Emirates,Vriitya Aravind,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354964.png"
United Arab Emirates,Zawar Farid,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354966.png"
United Arab Emirates,Basil Hameed,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354958.png"
United Arab Emirates,Chundangapoyil Rizwan,Right hand Bat,Legbreak Googly,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320320.png"
United Arab Emirates,Aayan Afzal Khan,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354956.png"
United Arab Emirates,Karthik Meiyappan,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/351500/351563.png"
United Arab Emirates,Junaid Siddique,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354960.png"
United Arab Emirates,Zahoor Khan,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320104.png"
Netherlands,Vikramjit Singh,Left hand Bat,Right arm Medium,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362800/362805.1.png"
Netherlands,Max O'Dowd,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322583.png"
Netherlands,Bas de Leede,Right hand Bat,Right arm Fast medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322637.png"
Netherlands,Colin Ackermann,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322638.png"
Netherlands,Tom Cooper,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322485.png"
Netherlands,Scott Edwards,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322592.png"
Netherlands,Roelof van der Merwe,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322596.png"
Netherlands,Tim Pringle,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Netherlands,Logan van Beek,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331170.png"
Netherlands,Fred Klaassen,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324241.png"
Netherlands,Paul van Meekeren,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png"
Scotland,George Munsey,Left hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320365.png"
Scotland,Michael Jones,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png"
Scotland,Matthew Cross,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316680.png"
Scotland,Richie Berrington,Right hand Bat,Right arm Medium fast,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316587.png"
Scotland,Calum MacLeod,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316597.png"
Scotland,Michael Leask,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316678.png"
Scotland,Chris Greaves,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329745.png"
Scotland,Mark Watt,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320372.png"
Scotland,Josh Davey,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316676.png"
Scotland,Safyaan Sharif,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316679.png"
Scotland,Brad Wheal,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322436.png"
West Indies,Kyle Mayers,Left hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322024.png"
West Indies,Evin Lewis,Left hand Bat,,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320000/320093.png"
West Indies,Brandon King,Right hand Bat,,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321983.png"
West Indies,Nicholas Pooran,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320109.png"
West Indies,Shamarh Brooks,Right hand Bat,Legbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322048.png"
West Indies,Rovman Powell,Right hand Bat,Right arm Medium fast,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322172.png"
West Indies,Jason Holder,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316673.png"
West Indies,Akeal Hosein,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321939.png"
West Indies,Alzarri Joseph,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321943.png"
West Indies,Odean Smith,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/351800/351853.png"
West Indies,Obed McCoy,Left hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322031.png"
Zimbabwe,Regis Chakabva,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316627.png"
Zimbabwe,Craig Ervine,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316567.png"
Zimbabwe,Wessly Madhevere,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/326500/326552.png"
Zimbabwe,Sean Williams,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316568.png"
Zimbabwe,Sikandar Raza,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316632.png"
